"dates","title","ressort"
2020-02-29,"Abgefahren!","Mobilität"
2020-02-25,"Tickets bezahlen oder gratis fahren - welchem Modell gehört die Zukunft?","Mobilität"
2020-01-30,"Bundestag stimmt über Extra-Milliarden für Busse und Bahnen ab","Wirtschaft"
2020-01-28,"Verband fordert besseres ÖPNV-Angebot statt billiger Tickets","Mobilität"
2019-12-29,"Tickets im Nahverkehr werden in vielen Städten teurer","Wirtschaft"
2019-12-26,"Schwer, teuer, gefährlich - die Mobilitäts-Flops des Jahres 2019","Mobilität"
2019-12-20,"Nahverkehrsbetriebe finden kaum neue Kunden","Wirtschaft"
2019-12-17,"Der ÖPNV ist ein Spalter","Mobilität"
2019-12-06,"Autoland ist wutentbrannt","Mobilität"
2019-12-05,"Bisherige Fahrverbote in Hamburg unzureichend","Mobilität"
2019-12-02,"In diesen Städten fährt man günstig Bus und Bahn","Mobilität"
2019-11-15,"Bund investiert 20-mal so viel Forschungsgelder in Kfz wie in ÖPNV","Mobilität"
2019-11-05,"Liebe Leserin, lieber Leser, guten Abend,","Politik"
2019-11-05,"So viel kostet Autofahren - auch Menschen, die nicht Auto fahren","Mobilität"
2019-10-25,"""Das Auto ist zu Recht umstritten""","Mobilität"
2019-10-24,"Urban Planners Herald End of Cars in Cities","International"
2019-10-17,"Ridesharing für Rollstuhlfahrer","Mobilität"
2019-09-20,"Was das Klimapaket für den Verkehr bedeutet","Mobilität"
2019-09-19,"So realistisch sind die Forderungen der Autokritiker","Mobilität"
2019-09-17,"Liebe Leserin, lieber Leser, guten Abend,","Politik"
2019-09-17,"Deutschland im Autorausch","Mobilität"
2019-09-07,"Rettet das 365-Euro-Ticket Deutschlands Innenstädte?","Mobilität"
2019-09-06,"Briefe","Politik"
2019-08-30,"ÖPNV-Nutzer sollen höhere Pendlerpauschale bekommen als Autofahrer","Wirtschaft"
2019-08-28,"Grünenabgeordneter will Extra-Urlaubstag für Radfahrer","Job & Karriere"
2019-08-22,"Giffey fordert freie Bahnfahrt auch für Freiwilligendienstler","Politik"
2019-08-16,"""E-Scooter und Busse sind eine sehr gefährliche Kombination""","Mobilität"
2019-08-15,"Streit um Abschaffung der ersten Klasse","Reise"
