"dates","title","ressort"
2021-11-23,"Warum Schließungen immer noch möglich sind","Wissenschaft"
2021-11-22,"Mehrere Bundesländer müssen Intensivpatienten verlegen","Reise"
2021-11-22,"Was Fahrgäste jetzt wissen müssen","Wissenschaft"
2021-11-19,"Israel beginnt mit Impfung von Fünf- bis Elfjährigen","Wissenschaft"
2021-11-17,"Wir haben's versaut","Politik"
2021-11-16,"3G, 2G plus, 2G – was gilt wo?","Politik"
2021-11-16,"In welchem Bundesland gilt jetzt was?","Wissenschaft"
2021-11-15,"Spahn empfiehlt Auffrischungsimpfung vor Ablauf von sechs Monaten","Wissenschaft"
2021-11-15,"Drosten dämpft Erwartungen an 3G-Regel in Bus und Bahn","Wirtschaft"
2021-11-15,"Verkehrsunternehmen sehen 3G-Regel in Bussen und Bahnen skeptisch","Mobilität"
2021-11-15,"Seniorinnen und Senioren können Führerschein gegen ÖPNV-Ticket tauschen","Wissenschaft"
2021-11-13,"Forscherin Priesemann hält geplante Maßnahmen für unzureichend","Mobilität"
2021-11-09,"Wo Bus- und Bahnfahren besonders teuer ist – und wo billig","Mobilität"
2021-11-06,"Tanken in Deutschland ist nicht teuer, sondern billig","Ausland"
2021-11-06,"»Endlich Infrastrukturwoche«","Ausland"
2021-11-05,"US-Kongress beschließt billionenschweres Infrastrukturpaket","Wirtschaft"
2021-11-03,"»Jeden Bezug zur Lebensrealität verloren«","Politik"
2021-11-02,"So wollen die Bundesländer die vierte Welle stoppen","Politik"
2021-11-02,"Bus- und Bahnfahren wird teils deutlich teurer","Wirtschaft"
2021-11-02,"







","Wirtschaft"
